"PC","Morph.pvalue.","Time.pvalue.","Sex.pvalue.","Morph.Time","Morph.Sex","Time.Sex","Morph.Time.Sex","Morph_pvalue_corrected","Time_pvalue_corrected","Sex_pvalue_corrected","MorphxTime_pvalue_corrected"
"PC18",0.5392220586389,0.998785351065702,0.247905718318682,0.867944957939478,0.150608044679914,0.779574422519411,0.0385771650322906,1,1,1,1
"PC19",0.478407052221717,0.919491076404352,0.960430747032636,0.662325174966369,0.951281331685946,0.504513971648609,0.401985715899461,1,1,1,1
"PC20",0.156917181697994,0.970267308764343,0.544432731767952,0.876875963520563,0.650714126396109,0.492297636228602,0.649365893300321,1,1,1,1
"PC21",0.992530522952796,0.961109446181535,0.815515303954791,0.616414474309934,0.51195549284593,0.23019627211899,0.972923791404277,1,1,1,1
"PC22",0.504711713837529,0.85489864860521,0.81599507849238,0.864549141610688,0.622567457045795,0.931882608374281,0.0581626485397648,1,1,1,1
"PC23",0.934554064020147,0.954441305641304,0.111898288862811,0.348105675003082,0.898328550403594,0.840895988077597,0.851998330550577,1,1,1,1
"PC24",0.93919186741171,0.99042756392996,0.0605686371164208,0.60710703129563,0.639826741854863,0.818129882925358,0.730174281521295,1,1,1,1
"PC25",0.996695562258162,0.846998822110515,0.0802554694852122,0.784525461206798,0.591311006026976,0.792526517811699,0.937867573990596,1,1,1,1
"PC26",0.875748714136049,0.970182402827513,0.190667040422804,0.219563736801738,0.295231404303781,0.621525012082786,0.661446587243621,1,1,1,1
"PC27",0.974344159526248,0.961200114474496,0.280397185659396,0.542519675739977,0.523269620497516,0.515600513403948,0.886179863286768,1,1,1,1
"PC28",0.832935584874213,0.988481238759432,0.497891312813909,0.0311030936251897,0.607721356592773,0.0782231363419579,0.734137056654719,1,1,1,1
"PC29",0.951262398427858,0.927455843924345,0.0678416651395019,0.045985896498555,0.0336795537899994,0.532953339427954,0.638597490871643,1,1,1,1
"PC30",0.959569792401622,0.968811435128127,0.724220892919501,0.693462432330962,0.618208802683092,0.656273430577535,0.145232284207743,1,1,1,1
"PC31",0.680117850724643,0.710013708374151,0.629682737457309,0.165996756535652,0.190204085079661,0.219647902428227,0.797230757894656,1,1,1,1
"PC32",0.931397177570015,0.963279968290432,0.515797622381392,0.464996304630246,0.503811819441884,0.740267936272349,0.553796972050814,1,1,1,1
"PC33",0.966003414250636,0.619525963778503,0.279705105952091,0.467878998921056,0.936922996129717,0.745471562661657,0.408048367310254,1,1,1,1
"PC34",0.227623429263279,0.975595991188408,0.680912772048548,0.007856875884984,0.12433050188441,0.536711395527889,0.0597246731552518,1,1,1,0.369273166594248
"PC35",0.904231105672276,0.945399685629626,0.367773294013629,0.153481976892015,0.0714804476226333,0.232175809958029,0.144078197453308,1,1,1,1
"PC36",0.87519853201551,0.996258749954574,0.155324647544817,0.984442710672497,0.796246246187941,0.316343955813737,0.0376512143459802,1,1,1,1
"PC37",0.936476196572306,0.994594352832015,0.724146185075061,0.323813992812035,0.403507363821539,0.140139751123229,0.275395923255701,1,1,1,1
"PC38",0.852944274951818,0.627208004923077,0.685181228927884,0.381773471787461,0.160005206916161,0.268640501281028,0.2016548822652,1,1,1,1
"PC39",0.988774538120966,0.997652869117253,0.526927941171061,0.378310855711149,0.133017255915155,0.16184218250408,0.115303326823195,1,1,1,1
"PC40",0.948731724503016,0.281918592211362,0.723425416288761,0.0408125882094465,0.478450005636906,0.619065186453334,0.228911102874297,1,1,1,1
"PC41",0.921312277440819,0.984370316057239,0.360865550288702,0.695131073123769,0.232780145807961,0.854667284592665,0.228248201561198,1,1,1,1
"PC42",0.881978796401695,0.91478587827698,0.085863175740387,0.074961548946993,0.389859614377229,0.133281554889018,0.460495200065206,1,1,1,1
"PC43",0.996539717008922,0.579715736997027,0.471749573646592,0.798838273035545,0.164304258067288,0.262964184118325,0.484175614702518,1,1,1,1
"PC44",0.946281684991993,0.980314787626986,0.582385177671565,0.182638459158219,0.727123405848335,0.0900852298537168,0.772288994701284,1,1,1,1
"PC45",0.963428647199887,0.774832717631348,0.181413282920168,0.599875903494523,0.336906692923167,0.0464573245705123,0.927232176258246,1,1,1,1
"PC46",0.938489638798429,0.978651502247677,0.963805747914943,0.27421625588054,0.434819886360128,0.39074869540478,0.951433675670836,1,1,1,1
"PC47",0.903206294856619,0.934076781196584,0.63470012703757,0.568426065092927,0.996858333275445,0.500589548734402,0.984303100456529,1,1,1,1
